PAPEL	SEGMENTO	COTAÇÃO	FFO YIELD	DIVIDEND YIELD	P/VP	VALOR DE MERCADO	LIQUIDEZ	QTD DE IMÓVEIS	PREÇO DO M2	ALUGUEL POR M2	CAP RATE	VACÂNCIA MÉDIA
CLIN11	Títulos e Val. Mob.	75,81	13,30%	15,40%	0,80	329.528.000	1.019.680	0	0,00	0,00	0,00%	0,00%	""
CNES11	Lajes Corporativas	1,05	8,95%	8,86%	0,14	35.841.600	39.104	1	516,62	172,14	33,32%	59,40%	""
COPP11	Híbrido	103,00	4,99%	0,00%	0,94	290.462.000	0	3	5,42	0,25	4,63%	18,00%	""
CORM11	Híbrido	81,00	4,16%	0,00%	0,86	87.581.800	0	3	7.255,09	751,37	10,36%	0,00%	""
CPFF11	Títulos e Val. Mob.	61,34	6,12%	11,42%	0,83	156.606.000	314.259	0	0,00	0,00	0,00%	0,00%	""
CPLG11	Logística	11,19	-0,20%	4,25%	1,09	384.323.000	13.921.700	1	483,66	0,76	0,16%	0,00%	""
CPOF11	Híbrido	108,50	4,74%	7,87%	0,99	305.972.000	10.141.400	3	5,71	0,25	4,40%	18,00%	""
CPSH11	Shoppings	8,98	5,08%	13,28%	0,77	715.704.000	1.781.660	7	849,44	66,82	7,87%	0,00%	""
CPTR11	Títulos e Val. Mob.	6,24	20,60%	12,74%	0,65	258.212.000	1.081.740	0	0,00	0,00	0,00%	0,00%	""
CPTS11	Títulos e Val. Mob.	6,25	9,42%	14,35%	0,73	1.986.430.000	8.078.760	0	0,00	0,00	0,00%	0,00%	""
CPUR11	Híbrido	10,40	3,40%	2,88%	1,07	597.926.000	7.020.280	12	6.660,17	230,97	3,47%	0,45%	""
CRAA11	Títulos e Val. Mob.	85,49	4,72%	14,97%	0,85	202.597.000	1.188.460	0	0,00	0,00	0,00%	0,00%	""
CRFF11	Títulos e Val. Mob.	64,96	11,08%	11,25%	0,84	44.825.000	63.129	0	0,00	0,00	0,00%	0,00%	""
CTXT11	Lajes Corporativas	6,00	-25,67%	0,00%	0,23	23.528.600	1.858	1	502,42	9,29	1,85%	100,00%	""
CVBI11	Títulos e Val. Mob.	75,56	14,44%	14,90%	0,83	831.933.000	2.097.700	0	0,00	0,00	0,00%	0,00%	""
CXAG11	Outros	70,10	12,38%	12,82%	0,61	146.553.000	147.597	32	2.546,44	354,20	13,91%	0,00%	""
CXCE11	Lajes Corporativas	38,60	13,80%	13,33%	0,61	66.119.900	22.414	1	3.120,95	472,62	15,14%	0,00%	""
CXCI11	Títulos e Val. Mob.	63,39	14,72%	14,12%	0,80	130.439.000	163.096	0	0,00	0,00	0,00%	0,00%	""
CXCO11	Lajes Corporativas	55,46	15,62%	14,36%	0,54	217.653.000	128.558	10	2.347,17	408,81	17,42%	0,00%	""
CXRI11	Títulos e Val. Mob.	62,72	11,37%	11,16%	0,81	98.831.700	44.162	0	0,00	0,00	0,00%	0,00%	""
CXTL11	Logística	237,00	10,52%	9,96%	0,58	12.702.500	105.381	1	1.825,32	341,56	18,71%	0,00%	""
DAMA11	Títulos e Val. Mob.	9,20	1,69%	3,34%	0,96	42.507.400	36.330	0	0,00	0,00	0,00%	0,00%	""
DAMT11	Híbrido	8,26	4,60%	0,00%	0,59	146.861.000	223	1	1.843,04	133,93	7,27%	11,05%	""
DCRA11	Títulos e Val. Mob.	7,42	19,10%	16,74%	0,77	50.002.700	111.000	0	0,00	0,00	0,00%	0,00%	""
DEVA11	Títulos e Val. Mob.	29,17	20,87%	20,75%	0,30	409.690.000	780.448	0	0,00	0,00	0,00%	0,00%	""
DMAC11	Residencial	13,00	-758,50%	0,00%	2,61	2.029.400	0	0	0,00	0,00	0,00%	0,00%	""
DOMC11	Híbrido	439,00	0,33%	0,00%	4,13	1.072.830.000	0	2	25.600,20	246,27	0,96%	18,27%	""
DOVL11	Lajes Corporativas	666,30	11,20%	13,98%	1,02	44.246.300	0	2	2.496,37	555,41	22,25%	0,00%	""
DPRO11	Híbrido	6,05	10,42%	10,52%	0,66	30.269.500	755	1	1.852,97	245,71	13,26%	0,00%	""
DRIT11	Lajes Corporativas	72,48	8,74%	16,64%	0,56	33.578.300	10.666	4	5.600,87	628,08	11,21%	0,00%	""
DVFF11	Títulos e Val. Mob.	5,98	3,51%	13,99%	0,75	65.836.800	29.820	0	0,00	0,00	0,00%	0,00%	""
EDFO11	Lajes Corporativas	134,00	16,06%	14,62%	0,64	31.624.000	5.684	1	89.560,50	15.601,22	17,42%	100,05%	""
EDGA11	Lajes Corporativas	16,06	4,85%	5,76%	0,25	61.221.600	22.611	1	2.357,96	256,91	10,90%	24,98%	""
EGAF11	Títulos e Val. Mob.	81,20	15,16%	17,01%	0,82	254.311.000	719.653	0	0,00	0,00	0,00%	0,00%	""
ELDO11B	Shoppings	1.104,31	9,96%	4,20%	0,66	869.375.000	0	1	11.418,50	1.368,92	11,99%	1,32%	""
EQIN11	Títulos e Val. Mob.	93,50	1,31%	0,00%	9,72	1.428.810.000	0	0	0,00	0,00	0,00%	0,00%	""
EQIR11	Títulos e Val. Mob.	7,30	12,02%	14,98%	0,79	79.638.000	146.963	0	0,00	0,00	0,00%	0,00%	""
ERCR11	Híbrido	76.000,00	-0,02%	0,00%	2,86	180.576.000	0	0	0,00	0,00	0,00%	0,00%	""
