PAPEL	SEGMENTO	COTAÇÃO	FFO YIELD	DIVIDEND YIELD	P/VP	VALOR DE MERCADO	LIQUIDEZ	QTD DE IMÓVEIS	PREÇO DO M2	ALUGUEL POR M2	CAP RATE	VACÂNCIA MÉDIA
SDIL11	Logística	96,50	5,44%	0,00%	1,00	746.822.000	0	6	1.962,80	251,82	12,83%	0,00%	""
SDIP11	Lajes Corporativas	88,00	1,98%	0,00%	0,89	371.533.000	0	5	11.055,70	1.012,66	9,16%	0,00%	""
SEED11	Híbrido	100,00	10,23%	11,59%	1,19	164.000.000	0	0	0,00	0,00	0,00%	0,00%	""
SEQR11	Outros	47,90	15,50%	14,70%	0,52	79.786.800	63.292	4	1.888,60	360,14	19,07%	0,00%	""
SHDP11B	Shoppings	1.210,05	9,40%	7,94%	0,87	1.439.630.000	0	1	11.099.600,00	1.199.306,92	10,80%	1,50%	""
SHOP11	Híbrido	55,04	0,19%	0,00%	1,54	107.436.000	11	1	3.822,65	249,34	6,52%	18,06%	""
SHPH11	Shoppings	921,00	6,52%	6,62%	0,91	560.843.000	92.555	1	15.972,20	1.254,42	7,85%	3,89%	""
SIGR11	Títulos e Val. Mob.	99,90	7,52%	2,37%	1,04	67.974.600	0	0	0,00	0,00	0,00%	0,00%	""
SJAU11	Logística	44,99	26,32%	21,65%	0,72	356.872.000	526.322	0	0,00	0,00	0,00%	0,00%	""
SMRE11	Outros	85,00	-0,08%	4,78%	0,77	38.069.000	386.464	0	0,00	0,00	0,00%	0,00%	""
SNAG11	Híbrido	9,14	10,58%	13,31%	0,89	555.167.000	1.354.250	3	124,37	11,01	8,85%	0,00%	""
SNCI11	Títulos e Val. Mob.	81,56	13,83%	14,00%	0,85	342.552.000	491.835	0	0,00	0,00	0,00%	0,00%	""
SNCR11	Híbrido	97,80	11,52%	0,00%	1,03	472.992.000	0	0	0,00	0,00	0,00%	0,00%	""
SNEL11	Híbrido	8,65	3,96%	13,45%	1,19	221.388.000	442.986	1	0,00	0,00	3,61%	0,00%	""
SNFF11	Títulos e Val. Mob.	69,81	8,47%	14,66%	0,88	236.981.000	367.710	0	0,00	0,00	0,00%	0,00%	""
SNFZ11	Híbrido	9,80	0,06%	0,55%	0,98	60.760.000	29.899	2	39.987,50	0,00	0,00%	0,00%	""
SNLG11	Híbrido	26,88	8,29%	8,85%	0,59	68.005.500	204.487	6	2.054,12	66,85	3,25%	8,72%	""
SNME11	Híbrido	9,00	11,75%	13,85%	1,00	66.764.200	41.588	2	0,00	0,00	0,00%	0,00%	""
SOLR11	Híbrido	1.051,35	-1,95%	0,00%	1,11	67.778.400	0	1	7.772,39	0,00	0,00%	0,00%	""
SPDE11	Residencial	1.237,90	-0,27%	9,20%	0,96	113.144.000	0	0	0,00	0,00	0,00%	0,00%	""
SPMO11	Híbrido	144,00	-0,12%	0,00%	1,00	260.868.000	0	0	0,00	0,00	0,00%	0,00%	""
SPTW11	Lajes Corporativas	32,99	19,74%	15,07%	0,57	59.316.000	65.441	1	4.155,71	958,12	23,06%	0,00%	""
SPXS11	Híbrido	7,60	13,05%	15,26%	0,83	153.437.000	358.125	0	0,00	0,00	0,00%	0,00%	""
SRVD11	Títulos e Val. Mob.	3,00	-0,16%	0,00%	5,52	288.858.000	0	0	0,00	0,00	0,00%	0,00%	""
STRX11	Híbrido	168,00	8,79%	5,88%	1,18	271.078.000	0	2	5.267,81	486,09	9,23%	8,13%	""
TBOF11	Lajes Corporativas	101,50	-0,11%	0,00%	486,34	1.020.080.000	0	1	0,00	0,00	0,00%	15,37%	""
TELM11	Híbrido	10,01	0,40%	1,35%	1,03	21.495.100	33.265	0	0,00	0,00	0,00%	0,00%	""
TEPP11	Lajes Corporativas	75,77	2,30%	13,75%	0,77	319.898.000	563.574	5	9.519,17	1.012,66	10,64%	0,00%	""
TGAR11	Híbrido	75,25	16,05%	19,10%	0,65	1.773.490.000	7.429.120	5	49,41	1,04	2,10%	0,00%	""
THRA11	Lajes Corporativas	138,50	2,96%	0,00%	14,52	203.973.000	0	0	0,00	0,00	0,00%	0,00%	""
TJKB11	Lajes Corporativas	269,00	8,37%	11,73%	1,01	267.504.000	6.307	11	5.621,70	589,15	10,48%	0,00%	""
TMPS11	Títulos e Val. Mob.	75,07	13,10%	16,98%	0,83	73.491.100	409.393	0	0,00	0,00	0,00%	0,00%	""
TORD11	Híbrido	0,94	0,21%	0,52%	0,15	32.948.300	49.455	0	0,00	0,00	0,00%	0,00%	""
TOUR11	Residencial	8,80	0,00%	0,00%	0,00	0	0	3	0,00	0,00	0,00%	0,00%	""
TRBL11	Logística	60,29	8,71%	15,25%	0,63	466.590.000	888.656	6	1.226,29	251,82	20,54%	0,00%	""
TRNT11	Lajes Corporativas	99,00	5,64%	1,03%	0,57	389.621.000	6.110	1	6.078,92	615,32	10,12%	38,70%	""
TRXB11	Híbrido	126,74	7,75%	15,86%	1,13	432.671.000	5.268	13	1.683,78	246,66	14,65%	0,00%	""
TRXF11	Híbrido	98,92	-1,92%	12,71%	0,97	1.981.920.000	5.409.800	29	4.409,81	337,91	7,66%	0,00%	""
TRXL11	Híbrido	103,38	6,10%	0,00%	1,00	4.471.100.000	0	19	6.133,16	270,01	4,40%	2,46%	""
TRXY11	Híbrido	9,75	0,00%	2,83%	1,03	35.194.800	11.410	0	0,00	0,00	0,00%	0,00%	""
TSER11	Lajes Corporativas	100,00	11,14%	11,64%	0,99	138.476.000	0	1	2.753,88	248,43	9,02%	0,00%	""
TSNC11	Híbrido	82,10	-7,48%	655.256,00%	1,03	89.224.600	156	1	7.082,67	72,50	1,02%	100,00%	""
TVRI11	Lajes Corporativas	81,89	12,31%	12,81%	0,81	1.303.660.000	1.032.040	61	3.123,28	479,56	15,35%	1,44%	""
UBSR11	Títulos e Val. Mob.	102,50	10,18%	0,00%	1,14	2.710.270.000	0	1	52.745,50	0,00	0,00%	100,02%	""
URHF11	Títulos e Val. Mob.	82,01	5,93%	2,88%	0,84	9.055.300	3.246	0	0,00	0,00	0,00%	0,00%	""
URPR11	Outros	50,75	16,77%	22,77%	0,51	595.495.000	1.537.680	0	0,00	0,00	0,00%	0,00%	""
VCJR11	Títulos e Val. Mob.	70,96	16,97%	15,37%	0,77	1.044.810.000	2.676.780	0	0,00	0,00	0,00%	0,00%	""
VCRA11	Títulos e Val. Mob.	58,74	24,79%	20,17%	0,57	269.847.000	725.004	0	0,00	0,00	0,00%	0,00%	""
VCRI11	Títulos e Val. Mob.	6,06	16,89%	18,09%	0,65	107.706.000	150.832	0	0,00	0,00	0,00%	0,00%	""
VCRR11	Logística	55,00	13,41%	13,50%	0,43	110.000.000	194.715	4	1.955,97	398,65	20,38%	0,00%	""
VERE11	Outros	445,76	6,59%	6,37%	0,91	282.707.000	0	4	1.661,25	195,15	11,75%	16,52%	""
VGHF11	Títulos e Val. Mob.	6,80	8,57%	15,55%	0,80	1.120.110.000	3.649.220	0	0,00	0,00	0,00%	0,00%	""
VGIA11	Títulos e Val. Mob.	7,76	16,86%	16,73%	0,84	670.892.000	1.745.660	0	0,00	0,00	0,00%	0,00%	""
VGII11	Outros	101,41	4,12%	6,16%	1,05	52.618.100	74.202	0	0,00	0,00	0,00%	0,00%	""
VGIP11	Títulos e Val. Mob.	74,50	13,51%	13,66%	0,85	878.150.000	2.103.460	0	0,00	0,00	0,00%	0,00%	""
VGIR11	Títulos e Val. Mob.	9,11	10,35%	13,74%	0,95	1.330.980.000	5.452.710	0	0,00	0,00	0,00%	0,00%	""
VGRI11	Títulos e Val. Mob.	7,07	4,55%	9,50%	0,72	247.604.000	458.424	5	4.400,19	245,96	5,59%	6,51%	""
VIFI11	Títulos e Val. Mob.	7,53	11,43%	11,48%	0,93	60.911.600	1.252.660	0	0,00	0,00	0,00%	0,00%	""
VILG11	Logística	71,84	10,30%	10,21%	0,64	1.077.410.000	1.908.880	15	1.881,94	232,49	12,35%	6,19%	""
VINO11	Lajes Corporativas	4,67	12,02%	13,83%	0,45	386.799.000	602.618	10	5.747,10	1.102,10	19,18%	1,66%	""
VISC11	Shoppings	94,71	9,00%	11,02%	0,76	2.730.360.000	4.910.040	30	2.572,80	250,45	9,73%	6,44%	""
VIUR11	Outros	5,18	15,54%	15,35%	0,58	139.581.000	176.706	8	1.981,70	321,20	16,21%	3,11%	""
VJFD11	Híbrido	155,02	5,92%	1,94%	0,95	755.898.000	2.087	39	790,59	49,53	6,27%	0,00%	""
VLOL11	Lajes Corporativas	98,00	6,78%	0,00%	0,88	174.913.000	0	0	0,00	0,00	0,00%	0,00%	""
VOTS11	Títulos e Val. Mob.	72,99	13,96%	12,54%	0,79	60.429.400	6.901	0	0,00	0,00	0,00%	0,00%	""
VPSI11	Shoppings	15,61	15,85%	12,41%	0,50	126.002.000	0	16	1.024,20	167,16	16,32%	0,00%	""
VRTA11	Títulos e Val. Mob.	74,18	13,10%	13,67%	0,85	1.156.650.000	1.725.980	0	0,00	0,00	0,00%	0,00%	""
VRTM11	Híbrido	6,24	4,84%	17,04%	0,67	293.101.000	279.475	16	4.459,94	0,00	0,00%	0,00%	""
VSEC11	Títulos e Val. Mob.	0,21	700,84%	0,00%	0,07	13.174	0	0	0,00	0,00	0,00%	0,00%	""
VSHO11	Shoppings	63,04	12,53%	12,21%	0,61	132.308.000	45.743	3	1.492,22	377,97	25,33%	10,21%	""
VSLH11	Outros	2,93	10,92%	15,85%	0,28	87.501.800	160.222	0	0,00	0,00	0,00%	0,00%	""
VTLT11	Logística	80,60	13,92%	13,75%	0,77	170.469.000	67.042	1	659,60	104,75	15,88%	0,00%	""
VTPL11	Híbrido	72,10	-0,61%	0,00%	0,71	99.948.000	0	1	2.743,71	0,00	0,00%	0,00%	""
VVCR11	Títulos e Val. Mob.	9,34	9,27%	10,61%	0,92	70.127.800	252.755	0	0,00	0,00	0,00%	0,00%	""
VVMR11	Híbrido	82,00	5,13%	9,45%	0,73	231.501.000	1.335.440	5	7.539,34	606,90	8,05%	2,83%	""
VVPR11	Híbrido	101,50	8,99%	0,00%	1,04	234.036.000	0	6	5.334,39	526,70	9,87%	0,00%	""
VVRI11	Híbrido	72,03	10,07%	14,95%	0,81	57.817.300	275.302	2	2.453,54	487,87	19,88%	0,00%	""
VXXV11	Outros	710,00	-1,12%	33,65%	1,07	196.277.000	1.464.890	1	86,99	0,00	0,00%	100,00%	""
WHGR11	Híbrido	7,99	12,83%	14,78%	0,86	246.990.000	340.330	0	0,00	0,00	0,00%	0,00%	""
WPLZ11	Shoppings	47,25	10,02%	9,08%	0,71	52.520.700	2.745	1	1.401,13	155,41	11,09%	9,26%	""
WSEC11	Títulos e Val. Mob.	6,98	15,58%	14,88%	0,68	17.146.400	9.907	0	0,00	0,00	0,00%	0,00%	""
WTSP11	Híbrido	59,95	22,76%	19,90%	0,71	74.252.400	9.021	1	6.012,48	339,13	5,64%	3,45%	""
XPCA11	Títulos e Val. Mob.	6,33	18,69%	15,21%	0,67	288.161.000	1.069.960	0	0,00	0,00	0,00%	0,00%	""
XPCI11	Títulos e Val. Mob.	71,28	13,59%	14,31%	0,82	620.247.000	1.692.350	0	0,00	0,00	0,00%	0,00%	""
XPCM11	Híbrido	6,33	-33,49%	0,00%	0,23	15.284.200	13.183	1	766,20	21,63	2,82%	63,00%	""
XPHT11	Hotel	123,00	2,96%	0,00%	1,80	1.133.880.000	0	14	19.966,10	673,96	3,38%	0,00%	""
XPIN11	Outros	64,77	10,68%	12,06%	0,62	463.133.000	358.056	81	1.786,84	251,63	14,08%	6,40%	""
XPLG11	Logística	89,64	8,73%	10,40%	0,80	2.794.610.000	4.309.770	18	2.176,57	203,93	9,37%	2,83%	""
XPML11	Shoppings	97,98	8,30%	11,12%	0,84	5.420.270.000	14.964.900	20	5.499,36	425,69	7,74%	5,65%	""
XPPR11	Outros	12,54	8,15%	6,11%	0,21	91.744.800	98.736	2	1.753,14	410,39	23,41%	45,23%	""
XPSF11	Títulos e Val. Mob.	5,43	14,80%	15,60%	0,75	235.131.000	613.893	0	0,00	0,00	0,00%	0,00%	""
XTED11	Lajes Corporativas	8,82	9,23%	0,00%	0,61	87.318.000	0	4	3.700,84	320,96	8,67%	0,00%	""
YCHY11	Híbrido	1.000,00	-5,36%	0,00%	10,01	4.235.040.000	0	11	17.127,60	130,14	0,76%	0,00%	""
YUFI11	Residencial	59,52	4,98%	3,73%	0,56	29.322.500	19	40	1.437,34	224,64	15,63%	0,00%	""
ZAGH11	Híbrido	10,69	2,90%	5,79%	1,13	95.051.900	3.276	0	0,00	0,00	0,00%	0,00%	""
ZAVC11	Títulos e Val. Mob.	9,50	7,12%	13,16%	0,96	29.424.800	42	0	0,00	0,00	0,00%	0,00%	""
ZAVI11	Híbrido	86,05	17,63%	17,36%	0,65	100.964.000	528.173	10	1.361,62	207,27	15,22%	0,68%	""
ZIFI11	Híbrido	620,00	-3,04%	0,00%	0,35	29.440.700	3.427	0	0,00	0,00	0,00%	0,00%	""
