PAPEL	COTAÇÃO	P/L	P/VP	PSR	DIV.YIELD	P/ATIVO	P/CAP.GIRO	P/EBIT	P/ATIV CIRC.LIQ	EV/EBIT	EV/EBITDA	MRG EBIT	MRG. LÍQ.	LIQ. CORR.	ROIC	ROE	LIQ.2MESES	PATRIM. LÍQ	DÍV.LÍQ/ PATRIM.	CRESC. REC.5A	DÍVIDA LÍQUIDA/EBITDA	VALOR DE MERCADO
GLOB4	30,49	-2,77	1,17	0,107	0,00%	0,086	-0,57	1,71	-0,17	5,86	3,59	6,23%	-3,84%	0,73	7,25%	-42,19%	0	2.477.000.000	3,81	-1,88%	2,54	2.899.200.000
RPAD3	3,77	-2,76	0,34	0,000	0,00%	0,330	2,66	-143,94	2,82	-86,40	-86,40	0,00%	0,00%	11,31	-0,26%	-12,17%	1.215	949.142.000	0,00	0,00%	57,54	319.251.000
LIXC3	1,75	-2,62	1,52	395,995	0,00%	0,069	0,28	-4,21	3,84	-6,37	-6,68	-9.413,21%	-14.386,80%	1,34	-1,90%	-57,85%	0	13.842.000	0,79	-75,90%	-2,27	20.987.800
BEEF3	6,51	-2,54	-8,26	0,116	0,00%	0,094	0,50	1,67	-0,22	8,27	6,45	6,95%	-4,59%	1,48	10,99%	325,66%	42.040.500	-478.639.000	-62,85	11,88%	5,15	3.953.410.000
AMAR3	1,55	-2,52	2,80	0,572	0,00%	0,418	-2,58	13,21	-0,76	22,29	5,93	4,33%	-22,68%	0,65	4,01%	-110,95%	645.448	284.608.000	2,25	-12,08%	2,41	795.857.000
BICB4	8,25	-2,43	2,21	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-91,00%	0	944.626.000	0,00	-31,19%	""	2.086.460.000
BICB3	8,00	-2,35	2,14	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-91,00%	0	944.626.000	0,00	-31,19%	""	2.023.230.000
WEST3	5,22	-2,27	0,25	0,346	0,00%	0,184	0,48	-1,11	0,56	1,12	1,75	-31,23%	-15,24%	2,75	-34,97%	-11,10%	22.889	230.203.000	0,05	-19,26%	3,48	57.990.800
ARLA4	3,38	-2,21	-0,62	2,137	0,00%	0,442	-0,31	-6,74	-0,29	-17,87	-17,87	-31,72%	-96,55%	0,10	-13,71%	28,00%	0	-24.319.000	-1,02	-47,46%	-11,14	15.074.800
LIXC4	1,45	-2,17	1,26	328,110	0,00%	0,057	0,23	-3,49	3,18	-5,65	-5,92	-9.413,21%	-14.386,80%	1,34	-1,90%	-57,85%	0	13.842.000	0,79	-75,90%	-2,27	17.389.800
MMXM3	14,00	-2,17	-0,11	0,000	0,00%	0,710	-0,10	4,70	-0,09	18,64	18,64	0,00%	0,00%	0,01	25,93%	4,97%	0	-842.661.000	-0,32	-28,51%	13,95	90.832.000
RCSL4	1,25	-2,17	-2,28	2,004	0,00%	0,849	-4,72	-11,97	-0,80	-11,97	-18,61	-16,74%	-99,32%	0,64	-7,48%	105,13%	3.551.160	-17.471.000	0,00	-7,43%	0,00	39.777.500
OGXP3	1,63	-2,15	-0,98	0,000	0,00%	0,925	0,00	-16,46	0,00	-16,46	-16,46	0,00%	0,00%	0,00	0,00%	45,53%	0	-53.901.000	0,00	0,00%	0,00	52.747.100
SCLO4	0,41	-2,08	0,00	0,000	0,00%	0,007	0,00	-1,34	0,00	-70,50	-70,50	0,00%	0,00%	0,19	-0,59%	0,14%	0	-131.145.000	-0,21	174,06%	-69,16	393.600
VTLM3	0,79	-2,07	-0,65	390,404	0,00%	53,237	-0,72	-2,88	-0,64	-2,88	-2,94	-13.548,50%	-18.860,60%	0,00	521,70%	31,47%	0	-19.776.000	0,00	43,48%	0,00	12.883.300
AZEV4	0,93	-2,07	4,04	3,631	0,00%	0,801	-2,94	-4,63	-1,29	-5,52	-8,28	-78,44%	-175,53%	0,40	-19,96%	-195,40%	12.569.100	136.381.000	0,80	69,66%	-1,34	551.261.000
RNEW3	0,97	-2,07	0,30	0,934	0,00%	0,079	-3,25	-2,52	-0,12	-12,89	198,24	-37,03%	-45,16%	0,79	-3,37%	-14,35%	138.033	815.951.000	1,40	41,79%	159,45	241.999.000
RNEW11	2,90	-2,06	0,30	0,930	0,00%	0,079	-3,24	-2,51	-0,12	-12,88	198,11	-37,03%	-45,16%	0,79	-3,37%	-14,35%	50.447	815.951.000	1,40	41,79%	159,45	241.168.000
RNEW4	0,96	-2,05	0,29	0,924	0,00%	0,078	-3,22	-2,50	-0,12	-12,86	197,84	-37,03%	-45,16%	0,79	-3,37%	-14,35%	386.189	815.951.000	1,40	41,79%	159,45	239.505.000
DASA3	1,86	-1,95	0,29	0,152	0,00%	0,088	0,80	2,32	-0,23	10,77	4,57	6,57%	-7,79%	1,55	4,35%	-15,13%	1.609.510	7.926.010.000	1,31	20,55%	3,58	2.334.310.000
ARCZ3	3,66	-1,88	1,95	1,096	0,00%	0,369	1,53	9,50	-0,84	28,18	28,18	11,54%	-58,02%	2,86	4,03%	-103,98%	0	1.934.210.000	3,92	0,75%	18,67	3.779.150.000
AZEV3	0,84	-1,87	3,65	3,280	0,00%	0,723	-2,65	-4,18	-1,17	-5,07	-7,61	-78,44%	-175,53%	0,40	-19,96%	-195,40%	2.703.670	136.381.000	0,80	69,66%	-1,34	497.913.000
ARCZ6	3,63	-1,86	1,94	1,087	0,00%	0,366	1,52	9,42	-0,84	28,10	28,10	11,54%	-58,02%	2,86	4,03%	-103,98%	0	1.934.210.000	3,92	0,75%	18,67	3.748.170.000
LUPA3	1,38	-1,83	0,42	0,472	0,00%	0,114	1,32	-5,59	-0,27	-22,51	-47,69	-8,46%	-25,80%	1,39	-2,14%	-22,96%	230.081	138.380.000	1,30	16,72%	-35,85	58.153.200
BISA3	1,58	-1,77	1,18	1,692	0,00%	0,321	0,86	-4,02	-7,64	-6,21	-9,28	-42,05%	-96,36%	2,22	-8,50%	-66,94%	0	1.788.370.000	0,77	-24,23%	-3,27	2.116.570.000
BCAL6	0,28	-1,70	-0,07	1,946	0,00%	13,030	-0,09	38,77	-0,07	452,65	452,65	5,02%	-114,49%	0,01	38,97%	4,10%	0	-290.863.000	-0,74	37,74%	413,88	20.274.800
DJON4	0,18	-1,70	0,22	-0,956	0,00%	0,166	-1,29	-1,42	-0,85	-1,98	-1,98	67,37%	56,33%	0,24	-12,02%	-12,84%	0	2.702.000	0,09	45,19%	-0,56	588.780
CEED3	10,83	-1,68	-0,20	0,138	0,00%	0,090	2,24	1,37	-0,08	10,27	7,95	10,13%	-8,22%	1,15	8,03%	12,13%	378	-3.618.330.000	-1,58	8,51%	6,89	739.202.000
SPRI6	11,00	-1,68	1,24	0,000	0,00%	1,196	2,33	-3,21	2,47	-2,86	-2,88	0,00%	0,00%	66,47	-42,86%	-73,82%	0	22.420.000	0,00	-7,33%	0,35	27.819.000
ESTR3	5,00	-1,67	-0,07	0,262	0,00%	0,123	-0,06	-20,61	-0,05	-71,93	-1.720,07	-1,27%	-15,71%	0,14	-0,63%	4,38%	13	-553.740.000	-0,18	1,09%	-1.227,14	40.420.000
BLUT4	1,52	-1,66	0,14	0,000	0,00%	0,041	-0,22	-12,69	-0,06	-23,74	-23,74	0,00%	0,00%	0,00	-0,33%	-8,24%	10.453	56.569.000	0,12	0,00%	-11,04	7.756.560
SJOS3	1,19	-1,63	-0,09	11,953	0,00%	5,224	-0,09	-29,32	-0,09	-74,68	-74,68	-40,77%	-734,52%	0,01	1,35%	5,32%	0	-185.419.000	-0,13	-21,66%	-45,37	16.065.000
ARLA3	2,47	-1,62	-0,45	1,562	0,00%	0,323	-0,22	-4,92	-0,21	-16,06	-16,06	-31,72%	-96,55%	0,10	-13,71%	28,00%	0	-24.319.000	-1,02	-47,46%	-11,14	11.016.200
SPRI3	10,51	-1,61	1,19	0,000	0,00%	1,143	2,23	-3,07	2,36	-2,72	-2,74	0,00%	0,00%	66,47	-42,86%	-73,82%	0	22.420.000	0,00	-7,33%	0,35	26.579.800
